bulbasaur,"A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON."
paras,"Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host."
parasect,"A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places."
venonat,"Lives in the shadows of tall trees where it eats insects. It is attracted by light at night."
venomoth,"The dust-like scales covering its wings are color coded to indicate the kinds of poison it has."
diglett,"Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground."
dugtrio,"A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground."
meowth,"Es de naturaleza nocturna. Le atraen los objetos brillantes."
persian,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
psyduck,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers."
golduck,"Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
mankey,"Extremely quick to anger. It could be docile one moment then thrashing away the next instant."
primeape,"Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught."
growlithe,"Very protective of its territory. It will bark and bite to repel intruders from its space."
arcanine,"A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings."
poliwag,"Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand."
poliwhirl,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
poliwrath,"An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers."
abra,"Dieses Pokémon schläft 18 Stunden am Tag. Bei Gefahr teleportiert es sich in Sicherheit, ohne dabei aufzuwachen."
kadabra,"It emits special alpha waves from its body that induce headaches just by being close by."
alakazam,"Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000."
machop,"Loves to build its muscles. It trains in all styles of martial arts to become even stronger."
machoke,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
machamp,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
bellsprout,"Even though its body is extremely skinny, it is blindingly fast when catching its prey."
weepinbell,"Escupe Polvo Veneno para envenenar al enemigo y, luego, lo liquida con Ácido."
victreebel,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
tentacool,"Son corps est principalement composé d’eau. Ses yeux cristallins projettent d’étranges rayons."
tentacruel,"80개의 촉수를 자유롭게 움직인다. 찔리면 독이 퍼져 극심한 고통을 겪게 된다."
geodude,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
graveler,"Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction."
golem,"Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage."
ponyta,"Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time."
rapidash,"Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it."
slowpoke,"Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack."
slowbro,"The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps."
magnemite,"Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves."
magneton,"Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up."
farfetchd,"The sprig of green onions it holds is its weapon. It is used much like a metal sword."
doduo,"A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints."
dodrio,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
seel,"The protruding horn on its head is very hard. It is used for bashing through thick ice."
dewgong,"Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters."
grimer,"Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories."
muk,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
shellder,"Its hard shell repels any kind of attack. It is vulnerable only when its shell is open."
cloyster,"CLOYSTER that live in seas with harsh tidal currents grow large, sharp spikes on their shells."
gastly,"Almost invisible, this gaseous POKéMON cloaks the target and puts it to sleep without notice."
haunter,"Because of its ability to slip through block walls, it is said to be from an­ other dimension."
gengar,"Under a full moon, this POKéMON likes to mimic the shadows of people and laugh at their fright."
onix,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
drowzee,"Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams."
hypno,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
krabby,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
kingler,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
voltorb,"Usually found in power plants. Easily mistaken for a POKé BALL, they have zapped many people."
electrode,"It stores electric energy under very high pressure. It often explodes with little or no provocation."
exeggcute,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
exeggutor,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
cubone,"死に別れた　母親の　骨を 頭に　覆っている。寂しいとき 大声で　泣くという。"
marowak,"骨に　灯った　呪いの　炎は いつまでも　治らない　痛みを 体と　心に　残すという。"
hitmonlee,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
hitmonchan,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
lickitung,"Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies."
koffing,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
weezing,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
rhyhorn,"Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying."
rhydon,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
chansey,"A rare and elusive POKéMON that is said to bring happiness to those who manage to get it."
tangela,"The whole body is swathed with wide vines that are similar to sea­ weed. Its vines shake as it walks."
kangaskhan,"The infant rarely ventures out of its mother's protective pouch until it is 3 years old."
horsea,"Hace su nido entre los corales. Si se siente en peligro, escupe tinta y huye."
seadra,"Capable of swim­ ming backwards by rapidly flapping its wing-like pectoral fins and stout tail."
goldeen,"せびれ　むなびれ　おびれが ゆうがに　たなびくので みずのおどりこ　とよばれる。"
seaking,"In the autumn spawning season, they can be seen swimming power­ fully up rivers and creeks."
staryu,"An enigmatic POKéMON that can effortlessly regenerate any appendage it loses in battle."
starmie,"Its central core glows with the seven colors of the rainbow. Some people value the core as a gem."
mr-mime,"If interrupted while it is miming, it will slap around the offender with its broad hands."
scyther,"With ninja-like agility and speed, it can create the illusion that there is more than one."
jynx,"Its cries sound like human speech. However, it is impossible to tell what it is trying to say."
electabuzz,"Normally found near power plants, they can wander away and cause major blackouts in cities."
magmar,"Its body always burns with an orange glow that enables it to hide perfectly among flames."
pinsir,"If it fails to crush the victim in its pincers, it will swing it around and toss it hard."
tauros,"When it targets an enemy, it charges furiously while whipping its body with its long tails."
magikarp,"In the distant past, it was somewhat stronger than the horribly weak descendants that exist today."
gyarados,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage."
lapras,"A POKéMON that has been over­ hunted almost to extinction. It can ferry people across the water."
ditto,"It can freely recombine its own cellular structure to transform into other life-forms."
eevee,"Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs."
vaporeon,"수중에서의 생활에 적합한 몸으로 진화했다. 물에 녹으면 보이지 않게 된다."
jolteon,"It accumulates negative ions in the atmosphere to blast out 10000- volt lightning bolts."
flareon,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees."
porygon,"A POKéMON that consists entirely of programming code. Capable of moving freely in cyberspace."
omanyte,"Although long extinct, in rare cases, it can be genetically resurrected from fossils."
omastar,"Apparently, it cracked SHELLDER's shell with its sharp fangs and sucked out the insides."
kabuto,"A POKéMON that was resurrected from a fossil found in what was once the ocean floor eons ago."
kabutops,"Its sleek shape is perfect for swim­ ming. It slashes prey with its claws and drains the body fluids."
aerodactyl,"A ferocious, pre­ historic POKéMON that goes for the enemy's throat with its serrated saw-like fangs."
snorlax,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful."
articuno,"A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains."
zapdos,"A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts."
moltres,"It is said to be the legendary bird Pokémon of fire. Every flap of its wings creates a dazzling flare of flames."
dratini,"Long considered a mythical POKéMON until recently when a small colony was found living underwater."
dragonair,"A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions."
dragonite,"An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans."
mewtwo,"It was created by a scientist after years of horrific gene splicing and DNA engineering experiments."
mew,"So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide."
chikorita,"A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays."
bayleef,"Die Knospen an seinem Hals geben ein würziges Aroma ab, das andere aufheitert."
meganium,"The aroma that rises from its petals contains a substance that calms aggressive feelings."
cyndaquil,"It is timid, and always curls it­ self up in a ball. If attacked, it flares up its back for protection."
quilava,"Be careful if it turns its back during battle. It means that it will attack with the fire on its back."
typhlosion,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames."
totodile,"Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful."
croconaw,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth."
feraligatr,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up."
sentret,"A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings."
furret,"The mother puts its offspring to sleep by curling up around them. It corners foes with speed."
hoothoot,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen."
noctowl,"Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark."
ledyba,"It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group."
ledian,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder."
spinarak,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close."
ariados,"It spins string not only from its rear but also from its mouth. It is hard to tell which end is which."
crobat,"It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby."
chinchou,"It shoots positive and negative elec­ tricity between the tips of its two antennae and zaps its enemies."
lanturn,"The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles."
pichu,"It is not yet skilled at storing electricity. It may send out a jolt if amused or startled."
cleffa,"Si dice che sia facile incontrarlo dove sono precipitate delle stelle cadenti."
igglybuff,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop."
togepi,"The shell seems to be filled with joy. It is said that it will share good luck when treated kindly."
togetic,"They say that it will appear before kindhearted, car­ ing people and shower them with happiness."
natu,"Because its wings aren't yet fully grown, it has to hop to get around. It is always star­ ing at something."
xatu,"They say that it stays still and quiet because it is seeing both the past and future at the same time."
mareep,"If static elec­ tricity builds in its body, its fleece doubles in volume. Touching it will shock you."
flaaffy,"As a result of storing too much electricity, it developed patches where even downy wool won't grow."
ampharos,"The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people."
bellossom,"BELLOSSOM gather at times and appear to dance. They say that the dance is a ritual to summon the sun."
marill,"The tip of its tail, which con­ tains oil that is lighter than wa­ ter, lets it swim without drowning."
azumarill,"会制作填满空气的泡泡。 当露力丽在河里玩的时候， 它就会用这个泡泡包住露力丽。"
sudowoodo,"Although it always pretends to be a tree, its composi­ tion appears to be closer to a rock than a plant."
politoed,"울음소리가 울려 퍼지면 여기저기에서 발챙이와 슈륙챙이들이 모인다."
hoppip,"To keep from being blown away by the wind, they gather in clusters. They do enjoy gentle breezes, though."
skiploom,"The bloom on top of its head opens and closes as the temperature fluc­ tuates up and down."
jumpluff,"Once it catches the wind, it deft­ ly controls its cotton-puff spores to float, even around the world."
aipom,"Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air."
sunkern,"It may drop out of the sky suddenly. If attacked by a SPEAROW, it will violently shake its leaves."
sunflora,"태양 에너지에서 영양을 만들어낸다. 기온이 높은 낮에는 활발하게 움직이고 태양이 지면 뚝 하니 움직이지 않게 된다."
yanma,"If it flaps its wings really fast, it can generate shock waves that will shatter win­ dows in the area."
wooper,"This POKéMON lives in cold water. It will leave the water to search for food when it gets cold outside."
quagsire,"This carefree POKéMON has an easy-going nature. While swimming, it always bumps into boat hulls."
espeon,"It uses the fine hair that covers its body to sense air currents and predict its ene­ my's actions."
umbreon,"When agitated, this POKéMON pro­ tects itself by spraying poisonous sweat from its pores."
murkrow,"Feared and loathed by many, it is believed to bring misfortune to all those who see it at night."
slowking,"It has incredible intellect and in­ tuition. Whatever the situation, it remains calm and collected."
misdreavus,"It likes playing mischievous tricks such as screaming and wailing to startle people at night."
unown,"Its flat, thin body is always stuck on walls. Its shape appears to have some meaning."
wobbuffet,"It hates light and shock. If attack­ ed, it inflates its body to pump up its counter­ strike."
girafarig,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent and bite."
pineco,"It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it."
forretress,"Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery."
dunsparce,"DUNSPARCE has a drill for its tail. It uses this tail to burrow into the ground backwards. This POKéMON is known to make its nest in complex shapes deep under the ground."
gligar,"It flies straight at its target’s face, then clamps down on the startled victim to inject poison."
steelix,"Its body has been compressed deep under the ground. As a result, it is even harder than a diamond."
snubbull,"Although it looks frightening, it is actually kind and affectionate. It is very popular among women."
granbull,"It is actually timid and easily spooked. If at­ tacked, it flails about to fend off its attacker."
qwilfish,"To fire its poison spikes, it must inflate its body by drinking over 2.6 gallons of water all at once."
scizor,"It swings its eye- patterned pincers up to scare its foes. This makes it look like it has three heads."
shuckle,"The BERRIES it stores in its vase-like shell decompose and become a gooey liquid."
heracross,"This powerful POKéMON thrusts its prized horn under its enemies’ bellies then lifts and throws them."
sneasel,"Its paws conceal sharp claws. If attacked, it sud­ denly extends the claws and startles its enemy."
teddiursa,"If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey."
ursaring,"Avec sa capacité à sentir toute odeur, il trouve sans faillir de la nourriture enfouie dans le sol."
slugma,"Son corps est fait de magma. S’il cesse de bouger, il refroidit et durcit."
magcargo,"The shell on its back is just skin that has cooled and hardened. It breaks easily with a slight touch."
swinub,"It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs."
piloswine,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly."
corsola,"It continuously sheds and grows. The tip of its head is prized as a treasure for its beauty."
remoraid,"It squirts water forcefully from its mouth to shoot down flying prey."
octillery,"It traps enemies with its suction- cupped tentacles then smashes them with its rock-hard head."
delibird,"It carries food all day long. There are tales about lost people who were saved by the food it had."
mantine,"As it majestically swims, it doesn't care if REMORAID attach to it for scavenging its leftovers."
skarmory,"全身披著鋼鐵鎧甲。 看起來很重，但牠能以 最高３００公里的時速飛行。"
houndour,"It uses different kinds of cries for communicating with others of its kind and for pursuing its prey."
houndoom,"If you are burned by the flames it shoots from its mouth, the pain will never go away."
kingdra,"Dicen que suele esconderse en cuevas submarinas. Puede crear torbellinos al bostezar."
phanpy,"It swings its long snout around play­ fully, but because it is so strong, that can be dan­ gerous."
donphan,"It has sharp, hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house."
porygon2,"This upgraded version of PORYGON is designed for space exploration. It can't fly, though."
stantler,"Those who stare at its antlers will gradually lose control of their senses and be unable to stand."
smeargle,"A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory."
tyrogue,"It is always bursting with en­ ergy. To make it­ self stronger, it keeps on fighting even if it loses."
hitmontop,"Si te encantan sus suaves, elegantes y danzarinas patadas, acabarás taladrado."
smoochum,"Its lips are the most sensitive parts on its body. It always uses its lips first to examine things."
elekid,"It generates electricity by whirling its arms. However, it can’t store the energy it makes."
magby,"Each and every time it inhales and exhales, hot embers dribble out of its mouth and nostrils."
miltank,"Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary."
blissey,"Anyone who takes even one bite of BLISSEY's egg be­ comes unfailingly caring and pleas­ ant to everyone."
raikou,"The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning."
entei,"Volcanoes erupt when it barks. Un­ able to restrain its extreme power, it races headlong around the land."
suicune,"Said to be the reincarnation of north winds, it can instantly purify filthy, murky water."
larvitar,"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow."
pupitar,"Its shell is as hard as sheet rock, and it is also very strong. Its THRASHING can topple a mountain."
tyranitar,"Its body can't be harmed by any sort of attack, so it is very eager to make challenges against enemies."
lugia,"It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong."
ho-oh,"Legends claim this POKéMON flies the world's skies con­ tinuously on its magnificent seven- colored wings."
celebi,"This POKéMON wan­ ders across time. Grass and trees flourish in the forests in which it has appeared."
treecko,"TREECKO has small hooks on the bottom of its feet that enable it to scale vertical walls. This POKéMON attacks by slamming foes with its thick tail."
grovyle,"발달한 넓적다리의 근육이 경이로운 순발력과 도약력을 만들어 낸다."
sceptile,"The leaves growing on SCEPTILE’s body are very sharp edged. This POKéMON is very agile - it leaps all over the branches of trees and jumps on its foe from above or behind."
torchic,"TORCHIC sticks with its TRAINER, following behind with unsteady steps. This POKéMON breathes fire of over 1,800 degrees F, including fireballs that leave the foe scorched black."
combusken,"COMBUSKEN toughens up its legs and thighs by running through fields and mountains. This POKéMON’s legs possess both speed and power, enabling it to dole out ten kicks in one second."
blaziken,"In battle, BLAZIKEN blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this POKéMON’s wrists burn."
mudkip,"The fin on MUDKIP’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this POKéMON can determine what is taking place around it without using its eyes."
marshtomp,"The surface of MARSHTOMP’s body is enveloped by a thin, sticky film that enables it to live on land. This POKéMON plays in mud on beaches when the ocean tide is low."
swampert,"SWAMPERT is very strong. It has enough power to easily drag a boulder weighing more than a ton. This POKéMON also has powerful vision that lets it see even in murky water."
poochyena,"At first sight, POOCHYENA takes a bite at anything that moves. This POKéMON chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back."
mightyena,"Les Grahyèna forment des meutes de dix qui excellent au travail de groupe pour capturer leurs proies."
zigzagoon,"ZIGZAGOON restlessly wanders everywhere at all times. This POKéMON does so because it is very curious. It becomes interested in anything that it happens to see."
linoone,"LINOONE always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it. This POKéMON is very challenged by gently curving roads."
wurmple,"Using the spikes on its rear end,   WURMPLE peels the bark off trees and feeds on the sap that oozes out. This POKéMON’s feet are tipped with suction pads that allow it to cling to glass without slipping."
silcoon,"SILCOON tethers itself to a tree branch using silk to keep from falling. There,  this POKéMON hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole."
beautifly,"BEAUTIFLY’s favorite food is the sweet pollen of flowers. If you want to see this POKéMON, just leave a potted flower by an open window. BEAUTIFLY is sure to come looking for pollen."
cascoon,"CASCOON makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This POKéMON prepares for its evolution inside the cocoon."
dustox,"DUSTOX is instinctively drawn to light. Swarms of this POKéMON are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
lotad,"LOTAD live in ponds and lakes, where they float on the surface. It grows weak if its broad leaf dies. On rare occasions, this POKéMON travels on land in search of clean water."
lombre,"Vive en el agua y, cuando hace sol, se queda en la orilla. De día duerme sobre las algas y de noche entra en acción."
ludicolo,"LUDICOLO begins dancing as soon as it hears cheerful, festive music. This POKéMON is said to appear when it hears the singing of children on hiking outings."
seedot,"SEEDOT attaches itself to a tree branch using the top of its head. It sucks moisture from the tree while hanging off the branch. The more water it drinks, the glossier this POKéMON’s body becomes."
nuzleaf,"NUZLEAF live in densely overgrown forests. They occasionally venture out of the forest to startle people. This POKéMON dislikes having its long nose pinched."
shiftry,"SHIFTRY is a mysterious POKéMON that is said to live atop towering trees  dating back over a thousand years. It creates terrific windstorms with the fans it holds."
taillow,"TAILLOW courageously stands its ground against foes, however strong they may be. This gutsy POKéMON will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry."
swellow,"SWELLOW flies high above our heads, making graceful arcs in the sky. This POKéMON dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by SWELLOW’s clawed feet, preventing escape."
wingull,"在海邊的懸崖上築巢。 會在海上盤旋，尋找牠 最愛吃的弱丁魚。"
pelipper,"PELIPPER is a flying transporter that carries small POKéMON and eggs inside its massive bill. This POKéMON builds its nest on steep cliffs facing the sea."
ralts,"RALTS senses the emotions of people using the horns on its head. This POKéMON rarely appears before people. But when it does, it draws closer if it senses that the person has a positive disposition."
kirlia,"It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This POKéMON controls psychokinetic powers with its highly developed brain."
gardevoir,"GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power."
surskit,"From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This POKéMON feeds on microscopic organisms in ponds and lakes."
masquerain,"MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This POKéMON flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter."
shroomish,"SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This POKéMON feeds on compost that is made up of fallen, rotted leaves."
breloom,"BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame."
slakoth,"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This POKéMON’s sole daily meal consists of just three leaves."
vigoroth,"VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This POKéMON’s stress level rises if it can’t be moving constantly."
slaking,"È il Pokémon più pigro del mondo, ma può sprigionare di colpo una quantità spaventosa di energia a lungo repressa."
nincada,"有时能在土里生活１０年以上。 会从树木的根部那里吸取营养。"
ninjask,"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible."
shedinja,"A discarded bug shell that came to life. Peering into the crack on its back is said to steal one’s spirit."
whismur,"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume."
loudred,"LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers."
exploud,"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow."
makuhita,"MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this POKéMON stores more energy in its body for evolving."
hariyama,"HARIYAMA practices its straight-arm slaps in any number of locations. One hit of this POKéMON’s powerful, openhanded, straight-arm punches could snap a telephone pole in two."
azurill,"AZURILL spins its tail as if it were a lasso, then hurls it far. The momentum of the throw sends its body flying, too. Using this unique action, one of these POKéMON managed to hurl itself a record 33 feet."
nosepass,"NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another."
skitty,"SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy."
delcatty,"DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this POKéMON eats and sleeps whenever it decides, its daily routines are completely random."
sableye,"SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these POKéMON are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness."
mawile,"MAWHILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWHILE chomps it with its gaping jaws."
aron,"This POKéMON has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails."
lairon,"Il raffole du minerai de fer. Il défend son territoire en chargeant avec son corps d’acier."
aggron,"AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This POKéMON vigilantly patrols its territory at all times."
meditite,"MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this POKéMON always loses its concentration and focus. As a result, its training never ends."
medicham,"It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense. This POKéMON hides its presence by merging itself with fields and mountains."
electrike,"ELECTRIKE stores electricity in its long body hair. This POKéMON stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance."
manectric,"It rarely appears before people. It is said to nest where lightning has fallen."
